ID_LOG_MAT;MODO_INGRESO;ID_ASIGNACION;ID_MTO;DESC_BODEGA;DIAM_BODEGA;EVENTO;DOCUMENTO;CANT_MOVIMIENTO;FOTO_RESPALDO;UBIC_DESTINO;ID_BULK_ORIGEN;FECHA;USUARIO
c8142793;ASIGNADO A LÍNEA;M-00189;1.611;;;RECEPCIÓN;;2,29;;;;12/03/2026;Enzo Santambrogio
c8142794;ASIGNADO A LÍNEA;M-00190;1.612;;;RECEPCIÓN;;12,77;;;;12/03/2026;Enzo Santambrogio
c8142795;ASIGNADO A LÍNEA;M-00191;1.617;;;RECEPCIÓN;;7,13;;;;12/03/2026;Enzo Santambrogio
c8142796;ASIGNADO A LÍNEA;M-00192;1.618;;;RECEPCIÓN;;12,35;;;;12/03/2026;Enzo Santambrogio
c8142797;ASIGNADO A LÍNEA;M-00193;1.619;;;RECEPCIÓN;;5,63;;;;12/03/2026;Enzo Santambrogio
c8142798;ASIGNADO A LÍNEA;M-00194;1.620;;;RECEPCIÓN;;3,24;;;;12/03/2026;Enzo Santambrogio
c8142799;ASIGNADO A LÍNEA;M-00195;1.621;;;RECEPCIÓN;;1,29;;;;12/03/2026;Enzo Santambrogio
c8142800;ASIGNADO A LÍNEA;M-00196;1.622;;;RECEPCIÓN;;11,8;;;;12/03/2026;Enzo Santambrogio
c8142801;ASIGNADO A LÍNEA;M-00197;1.623;;;RECEPCIÓN;;10,9;;;;12/03/2026;Enzo Santambrogio
c8142802;ASIGNADO A LÍNEA;M-00198;1.624;;;RECEPCIÓN;;0,6;;;;12/03/2026;Enzo Santambrogio
c8142803;ASIGNADO A LÍNEA;M-00199;1.625;;;RECEPCIÓN;;1,44;;;;12/03/2026;Enzo Santambrogio
c8142804;ASIGNADO A LÍNEA;M-00200;1.626;;;RECEPCIÓN;;1,39;;;;12/03/2026;Enzo Santambrogio
c8142805;ASIGNADO A LÍNEA;M-00201;1.627;;;RECEPCIÓN;;1,09;;;;12/03/2026;Enzo Santambrogio
c8142806;ASIGNADO A LÍNEA;M-00202;1.628;;;RECEPCIÓN;;1,06;;;;12/03/2026;Enzo Santambrogio
c8142807;ASIGNADO A LÍNEA;M-00203;1.629;;;RECEPCIÓN;;1,42;;;;12/03/2026;Enzo Santambrogio
c8142808;ASIGNADO A LÍNEA;M-00204;1.630;;;RECEPCIÓN;;1,42;;;;12/03/2026;Enzo Santambrogio
c8142809;ASIGNADO A LÍNEA;M-00205;1.631;;;RECEPCIÓN;;1,42;;;;12/03/2026;Enzo Santambrogio
c8142810;ASIGNADO A LÍNEA;M-00206;1.636;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142811;ASIGNADO A LÍNEA;M-00207;1.637;;;RECEPCIÓN;;1,7;;;;12/03/2026;Enzo Santambrogio
c8142812;ASIGNADO A LÍNEA;M-00208;1.638;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142813;ASIGNADO A LÍNEA;M-00209;1.639;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142814;ASIGNADO A LÍNEA;M-00210;1.640;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142815;ASIGNADO A LÍNEA;M-00211;1.641;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142816;ASIGNADO A LÍNEA;M-00212;1.642;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142817;ASIGNADO A LÍNEA;M-00213;1.643;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142818;ASIGNADO A LÍNEA;M-00214;1.644;;;RECEPCIÓN;;5,4;;;;12/03/2026;Enzo Santambrogio
c8142819;ASIGNADO A LÍNEA;M-00215;1.645;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142820;ASIGNADO A LÍNEA;M-00216;1.646;;;RECEPCIÓN;;1,94;;;;12/03/2026;Enzo Santambrogio
c8142821;ASIGNADO A LÍNEA;M-00217;1.647;;;RECEPCIÓN;;3,02;;;;12/03/2026;Enzo Santambrogio
c8142822;ASIGNADO A LÍNEA;M-00218;1.648;;;RECEPCIÓN;;0,98;;;;12/03/2026;Enzo Santambrogio
c8142823;ASIGNADO A LÍNEA;M-00219;1.649;;;RECEPCIÓN;;2,85;;;;12/03/2026;Enzo Santambrogio
c8142824;ASIGNADO A LÍNEA;M-00220;1.650;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142825;ASIGNADO A LÍNEA;M-00221;1.651;;;RECEPCIÓN;;2,39;;;;12/03/2026;Enzo Santambrogio
c8142826;ASIGNADO A LÍNEA;M-00222;1.652;;;RECEPCIÓN;;3,64;;;;12/03/2026;Enzo Santambrogio
c8142827;ASIGNADO A LÍNEA;M-00223;1.653;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142828;ASIGNADO A LÍNEA;M-00224;1.654;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142829;ASIGNADO A LÍNEA;M-00225;1.655;;;RECEPCIÓN;;0,67;;;;12/03/2026;Enzo Santambrogio
c8142830;ASIGNADO A LÍNEA;M-00226;1.656;;;RECEPCIÓN;;5,98;;;;12/03/2026;Enzo Santambrogio
c8142831;ASIGNADO A LÍNEA;M-00227;1.657;;;RECEPCIÓN;;5,65;;;;12/03/2026;Enzo Santambrogio
c8142832;ASIGNADO A LÍNEA;M-00228;1.658;;;RECEPCIÓN;;1,45;;;;12/03/2026;Enzo Santambrogio
c8142833;ASIGNADO A LÍNEA;M-00229;1.659;;;RECEPCIÓN;;0,52;;;;12/03/2026;Enzo Santambrogio
c8142834;ASIGNADO A LÍNEA;M-00230;1.660;;;RECEPCIÓN;;0,14;;;;12/03/2026;Enzo Santambrogio
c8142835;ASIGNADO A LÍNEA;M-00231;1.661;;;RECEPCIÓN;;6;;;;12/03/2026;Enzo Santambrogio
c8142836;ASIGNADO A LÍNEA;M-00232;1.662;;;RECEPCIÓN;;3,38;;;;12/03/2026;Enzo Santambrogio
c8142837;ASIGNADO A LÍNEA;M-00233;1.663;;;RECEPCIÓN;;1,59;;;;12/03/2026;Enzo Santambrogio
c8142838;ASIGNADO A LÍNEA;M-00234;1.664;;;RECEPCIÓN;;1,8;;;;12/03/2026;Enzo Santambrogio
c8142839;ASIGNADO A LÍNEA;M-00235;1.665;;;RECEPCIÓN;;0,24;;;;12/03/2026;Enzo Santambrogio
c8142840;ASIGNADO A LÍNEA;M-00236;1.666;;;RECEPCIÓN;;5,9;;;;12/03/2026;Enzo Santambrogio
c8142841;ASIGNADO A LÍNEA;M-00237;1.667;;;RECEPCIÓN;;4,27;;;;12/03/2026;Enzo Santambrogio
c8142842;ASIGNADO A LÍNEA;M-00238;1.668;;;RECEPCIÓN;;0,15;;;;12/03/2026;Enzo Santambrogio
c8142843;ASIGNADO A LÍNEA;M-00239;1.669;;;RECEPCIÓN;;3,26;;;;12/03/2026;Enzo Santambrogio
c8142844;ASIGNADO A LÍNEA;M-00240;1.670;;;RECEPCIÓN;;1,97;;;;12/03/2026;Enzo Santambrogio
c8142845;ASIGNADO A LÍNEA;M-00241;1.671;;;RECEPCIÓN;;4,22;;;;12/03/2026;Enzo Santambrogio
c8142846;ASIGNADO A LÍNEA;M-00242;1.672;;;RECEPCIÓN;;0,4;;;;12/03/2026;Enzo Santambrogio
c8142847;ASIGNADO A LÍNEA;M-00243;1.674;;;RECEPCIÓN;;0,7;;;;12/03/2026;Enzo Santambrogio
c8142848;ASIGNADO A LÍNEA;M-00244;1.675;;;RECEPCIÓN;;0,39;;;;12/03/2026;Enzo Santambrogio
c8142849;ASIGNADO A LÍNEA;M-00245;1.676;;;RECEPCIÓN;;0,7;;;;12/03/2026;Enzo Santambrogio
c8142850;ASIGNADO A LÍNEA;M-00246;1.677;;;RECEPCIÓN;;0,7;;;;12/03/2026;Enzo Santambrogio
c8142851;ASIGNADO A LÍNEA;M-00247;1.678;;;RECEPCIÓN;;0,04;;;;12/03/2026;Enzo Santambrogio
c8142852;ASIGNADO A LÍNEA;M-00248;1.679;;;RECEPCIÓN;;0,4;;;;12/03/2026;Enzo Santambrogio
c8142853;ASIGNADO A LÍNEA;M-00249;1.680;;;RECEPCIÓN;;0,36;;;;12/03/2026;Enzo Santambrogio
c8142854;ASIGNADO A LÍNEA;M-00250;1.681;;;RECEPCIÓN;;0,34;;;;12/03/2026;Enzo Santambrogio
c8142855;ASIGNADO A LÍNEA;M-00251;1.682;;;RECEPCIÓN;;0,1;;;;12/03/2026;Enzo Santambrogio
c8142856;ASIGNADO A LÍNEA;M-00252;1.683;;;RECEPCIÓN;;0,1;;;;12/03/2026;Enzo Santambrogio
c8142857;ASIGNADO A LÍNEA;M-00253;1.684;;;RECEPCIÓN;;0,33;;;;12/03/2026;Enzo Santambrogio
c8142858;ASIGNADO A LÍNEA;M-00254;1.685;;;RECEPCIÓN;;0,34;;;;12/03/2026;Enzo Santambrogio
c8142859;ASIGNADO A LÍNEA;M-00255;1.686;;;RECEPCIÓN;;0,02;;;;12/03/2026;Enzo Santambrogio
c8142860;ASIGNADO A LÍNEA;M-00256;1.687;;;RECEPCIÓN;;0,51;;;;12/03/2026;Enzo Santambrogio
c8142861;ASIGNADO A LÍNEA;M-00257;1.688;;;RECEPCIÓN;;0,13;;;;12/03/2026;Enzo Santambrogio
c8142862;ASIGNADO A LÍNEA;M-00258;1.689;;;RECEPCIÓN;;0,1;;;;12/03/2026;Enzo Santambrogio
c8142863;ASIGNADO A LÍNEA;M-00259;1.690;;;RECEPCIÓN;;0,15;;;;12/03/2026;Enzo Santambrogio
c8142864;ASIGNADO A LÍNEA;M-00260;1.691;;;RECEPCIÓN;;0,07;;;;12/03/2026;Enzo Santambrogio
c8142865;ASIGNADO A LÍNEA;M-00261;1.692;;;RECEPCIÓN;;0,27;;;;12/03/2026;Enzo Santambrogio
c8142866;ASIGNADO A LÍNEA;M-00262;1.693;;;RECEPCIÓN;;0,13;;;;12/03/2026;Enzo Santambrogio
c8142867;ASIGNADO A LÍNEA;M-00263;1.694;;;RECEPCIÓN;;3,1;;;;12/03/2026;Enzo Santambrogio
c8142868;ASIGNADO A LÍNEA;M-00264;1.695;;;RECEPCIÓN;;0,3;;;;12/03/2026;Enzo Santambrogio
c8142869;ASIGNADO A LÍNEA;M-00265;1.696;;;RECEPCIÓN;;1,9;;;;12/03/2026;Enzo Santambrogio
c8142870;ASIGNADO A LÍNEA;M-00266;1.697;;;RECEPCIÓN;;4,88;;;;12/03/2026;Enzo Santambrogio
c8142871;ASIGNADO A LÍNEA;M-00267;1.698;;;RECEPCIÓN;;0,19;;;;12/03/2026;Enzo Santambrogio
c8142872;ASIGNADO A LÍNEA;M-00268;1.699;;;RECEPCIÓN;;2;;;;12/03/2026;Enzo Santambrogio
c8142873;ASIGNADO A LÍNEA;M-00269;1.700;;;RECEPCIÓN;;0,36;;;;12/03/2026;Enzo Santambrogio
c8142874;ASIGNADO A LÍNEA;M-00270;1.701;;;RECEPCIÓN;;0,47;;;;12/03/2026;Enzo Santambrogio
c8142875;ASIGNADO A LÍNEA;M-00271;1.702;;;RECEPCIÓN;;3,37;;;;12/03/2026;Enzo Santambrogio
c8142876;ASIGNADO A LÍNEA;M-00272;1.703;;;RECEPCIÓN;;0,15;;;;12/03/2026;Enzo Santambrogio
c8142877;ASIGNADO A LÍNEA;M-00273;1.704;;;RECEPCIÓN;;8,74;;;;12/03/2026;Enzo Santambrogio
c8142878;ASIGNADO A LÍNEA;M-00274;1.705;;;RECEPCIÓN;;0,2;;;;12/03/2026;Enzo Santambrogio
c8142879;ASIGNADO A LÍNEA;M-00275;1.706;;;RECEPCIÓN;;0,1;;;;12/03/2026;Enzo Santambrogio
c8142880;ASIGNADO A LÍNEA;M-00276;1.707;;;RECEPCIÓN;;0,47;;;;12/03/2026;Enzo Santambrogio
c8142881;ASIGNADO A LÍNEA;M-00277;1.708;;;RECEPCIÓN;;0,47;;;;12/03/2026;Enzo Santambrogio
c8142882;ASIGNADO A LÍNEA;M-00278;1.709;;;RECEPCIÓN;;1,17;;;;12/03/2026;Enzo Santambrogio
c8142883;ASIGNADO A LÍNEA;M-00279;1.710;;;RECEPCIÓN;;0,09;;;;12/03/2026;Enzo Santambrogio
c8142884;ASIGNADO A LÍNEA;M-00280;1.711;;;RECEPCIÓN;;0,36;;;;12/03/2026;Enzo Santambrogio
c8142885;ASIGNADO A LÍNEA;M-00281;1.712;;;RECEPCIÓN;;0,12;;;;12/03/2026;Enzo Santambrogio
c8142886;ASIGNADO A LÍNEA;M-00282;1.713;;;RECEPCIÓN;;0,1;;;;12/03/2026;Enzo Santambrogio
c8142887;ASIGNADO A LÍNEA;M-00283;1.714;;;RECEPCIÓN;;0,14;;;;12/03/2026;Enzo Santambrogio
c8142888;ASIGNADO A LÍNEA;M-00284;1.715;;;RECEPCIÓN;;0,23;;;;12/03/2026;Enzo Santambrogio
c8142889;ASIGNADO A LÍNEA;M-00285;1.716;;;RECEPCIÓN;;2,36;;;;12/03/2026;Enzo Santambrogio
c8142890;ASIGNADO A LÍNEA;M-00286;1.717;;;RECEPCIÓN;;5,87;;;;12/03/2026;Enzo Santambrogio
c8142891;ASIGNADO A LÍNEA;M-00287;1.718;;;RECEPCIÓN;;0,18;;;;12/03/2026;Enzo Santambrogio
c8142892;ASIGNADO A LÍNEA;M-00288;1.719;;;RECEPCIÓN;;0,5;;;;12/03/2026;Enzo Santambrogio
c8142893;ASIGNADO A LÍNEA;M-00289;1.720;;;RECEPCIÓN;;5,78;;;;12/03/2026;Enzo Santambrogio
c8142894;ASIGNADO A LÍNEA;M-00290;1.721;;;RECEPCIÓN;;0,33;;;;12/03/2026;Enzo Santambrogio
c8142895;ASIGNADO A LÍNEA;M-00291;1.722;;;RECEPCIÓN;;5,2;;;;12/03/2026;Enzo Santambrogio
c8142896;ASIGNADO A LÍNEA;M-00292;1.723;;;RECEPCIÓN;;0,37;;;;12/03/2026;Enzo Santambrogio
c8142897;ASIGNADO A LÍNEA;M-00293;1.724;;;RECEPCIÓN;;0,21;;;;12/03/2026;Enzo Santambrogio
c8142898;ASIGNADO A LÍNEA;M-00294;1.725;;;RECEPCIÓN;;0,09;;;;12/03/2026;Enzo Santambrogio
c8142899;ASIGNADO A LÍNEA;M-00295;1.726;;;RECEPCIÓN;;0,07;;;;12/03/2026;Enzo Santambrogio
c8142900;ASIGNADO A LÍNEA;M-00296;1.727;;;RECEPCIÓN;;0,09;;;;12/03/2026;Enzo Santambrogio
c8142901;ASIGNADO A LÍNEA;M-00297;1.728;;;RECEPCIÓN;;0,3;;;;12/03/2026;Enzo Santambrogio
c8142902;ASIGNADO A LÍNEA;M-00298;1.729;;;RECEPCIÓN;;4,53;;;;12/03/2026;Enzo Santambrogio
c8142903;ASIGNADO A LÍNEA;M-00299;1.730;;;RECEPCIÓN;;0,19;;;;12/03/2026;Enzo Santambrogio
c8142904;ASIGNADO A LÍNEA;M-00300;1.731;;;RECEPCIÓN;;0,15;;;;12/03/2026;Enzo Santambrogio
c8142905;ASIGNADO A LÍNEA;M-00301;1.732;;;RECEPCIÓN;;0,21;;;;12/03/2026;Enzo Santambrogio
c8142906;ASIGNADO A LÍNEA;M-00302;1.733;;;RECEPCIÓN;;0,23;;;;12/03/2026;Enzo Santambrogio
c8142907;ASIGNADO A LÍNEA;M-00303;1.734;;;RECEPCIÓN;;0,09;;;;12/03/2026;Enzo Santambrogio
c8142908;ASIGNADO A LÍNEA;M-00304;1.735;;;RECEPCIÓN;;2,89;;;;12/03/2026;Enzo Santambrogio
c8142909;ASIGNADO A LÍNEA;M-00305;1.736;;;RECEPCIÓN;;0,19;;;;12/03/2026;Enzo Santambrogio
c8142910;ASIGNADO A LÍNEA;M-00306;1.737;;;RECEPCIÓN;;0,47;;;;12/03/2026;Enzo Santambrogio
c8142911;ASIGNADO A LÍNEA;M-00307;1.738;;;RECEPCIÓN;;0,09;;;;12/03/2026;Enzo Santambrogio
c8142912;ASIGNADO A LÍNEA;M-00308;1.739;;;RECEPCIÓN;;0,18;;;;12/03/2026;Enzo Santambrogio
c8142913;ASIGNADO A LÍNEA;M-00309;1.740;;;RECEPCIÓN;;0,3;;;;12/03/2026;Enzo Santambrogio
c8142914;ASIGNADO A LÍNEA;M-00310;1.741;;;RECEPCIÓN;;1,85;;;;12/03/2026;Enzo Santambrogio
c8142915;ASIGNADO A LÍNEA;M-00311;1.742;;;RECEPCIÓN;;4,2;;;;12/03/2026;Enzo Santambrogio
c8142916;ASIGNADO A LÍNEA;M-00312;1.743;;;RECEPCIÓN;;0,07;;;;12/03/2026;Enzo Santambrogio
c8142917;ASIGNADO A LÍNEA;M-00313;1.744;;;RECEPCIÓN;;0,12;;;;12/03/2026;Enzo Santambrogio
c8142918;ASIGNADO A LÍNEA;M-00314;1.745;;;RECEPCIÓN;;0,07;;;;12/03/2026;Enzo Santambrogio
c8142919;ASIGNADO A LÍNEA;M-00315;1.746;;;RECEPCIÓN;;4,3;;;;12/03/2026;Enzo Santambrogio
c8142920;ASIGNADO A LÍNEA;M-00316;1.747;;;RECEPCIÓN;;1,35;;;;12/03/2026;Enzo Santambrogio
c8142921;ASIGNADO A LÍNEA;M-00317;1.748;;;RECEPCIÓN;;0,81;;;;12/03/2026;Enzo Santambrogio
c8142922;ASIGNADO A LÍNEA;M-00318;1.749;;;RECEPCIÓN;;0,37;;;;12/03/2026;Enzo Santambrogio
c8142923;ASIGNADO A LÍNEA;M-00319;1.750;;;RECEPCIÓN;;0,2;;;;12/03/2026;Enzo Santambrogio
c8142924;ASIGNADO A LÍNEA;M-00320;1.751;;;RECEPCIÓN;;0,09;;;;12/03/2026;Enzo Santambrogio
c8142925;ASIGNADO A LÍNEA;M-00321;1.752;;;RECEPCIÓN;;0,1;;;;12/03/2026;Enzo Santambrogio
c8142926;ASIGNADO A LÍNEA;M-00322;1.753;;;RECEPCIÓN;;0,14;;;;12/03/2026;Enzo Santambrogio
c8142927;ASIGNADO A LÍNEA;M-00323;1.754;;;RECEPCIÓN;;2;;;;12/03/2026;Enzo Santambrogio
c8142928;ASIGNADO A LÍNEA;M-00324;1.755;;;RECEPCIÓN;;0,4;;;;12/03/2026;Enzo Santambrogio
c8142929;ASIGNADO A LÍNEA;M-00325;1.756;;;RECEPCIÓN;;0,24;;;;12/03/2026;Enzo Santambrogio
c8142930;ASIGNADO A LÍNEA;M-00326;1.757;;;RECEPCIÓN;;0,07;;;;12/03/2026;Enzo Santambrogio
c8142931;ASIGNADO A LÍNEA;M-00327;1.758;;;RECEPCIÓN;;0,09;;;;12/03/2026;Enzo Santambrogio
c8142932;ASIGNADO A LÍNEA;M-00328;1.759;;;RECEPCIÓN;;0,47;;;;12/03/2026;Enzo Santambrogio
c8142933;ASIGNADO A LÍNEA;M-00329;1.760;;;RECEPCIÓN;;0,19;;;;12/03/2026;Enzo Santambrogio
c8142934;ASIGNADO A LÍNEA;M-00330;1.761;;;RECEPCIÓN;;2;;;;12/03/2026;Enzo Santambrogio
c8142935;ASIGNADO A LÍNEA;M-00331;1.762;;;RECEPCIÓN;;13,87;;;;12/03/2026;Enzo Santambrogio
c8142936;ASIGNADO A LÍNEA;M-00332;1.763;;;RECEPCIÓN;;0,47;;;;12/03/2026;Enzo Santambrogio
c8142937;ASIGNADO A LÍNEA;M-00333;1.764;;;RECEPCIÓN;;0,1;;;;12/03/2026;Enzo Santambrogio
c8142938;ASIGNADO A LÍNEA;M-00334;1.765;;;RECEPCIÓN;;0,5;;;;12/03/2026;Enzo Santambrogio
c8142939;ASIGNADO A LÍNEA;M-00335;1.766;;;RECEPCIÓN;;0,46;;;;12/03/2026;Enzo Santambrogio
c8142940;ASIGNADO A LÍNEA;M-00336;1.767;;;RECEPCIÓN;;0,11;;;;12/03/2026;Enzo Santambrogio
c8142941;ASIGNADO A LÍNEA;M-00337;1.768;;;RECEPCIÓN;;7,49;;;;12/03/2026;Enzo Santambrogio
c8142942;ASIGNADO A LÍNEA;M-00338;1.769;;;RECEPCIÓN;;0,76;;;;12/03/2026;Enzo Santambrogio
c8142943;ASIGNADO A LÍNEA;M-00339;1.770;;;RECEPCIÓN;;0,2;;;;12/03/2026;Enzo Santambrogio
c8142944;ASIGNADO A LÍNEA;M-00340;1.771;;;RECEPCIÓN;;0,15;;;;12/03/2026;Enzo Santambrogio
c8142945;ASIGNADO A LÍNEA;M-00341;1.772;;;RECEPCIÓN;;0,09;;;;12/03/2026;Enzo Santambrogio
c8142946;ASIGNADO A LÍNEA;M-00342;1.773;;;RECEPCIÓN;;8,54;;;;12/03/2026;Enzo Santambrogio
c8142947;ASIGNADO A LÍNEA;M-00343;1.774;;;RECEPCIÓN;;0,07;;;;12/03/2026;Enzo Santambrogio
c8142948;ASIGNADO A LÍNEA;M-00344;1.775;;;RECEPCIÓN;;0,86;;;;12/03/2026;Enzo Santambrogio
c8142949;ASIGNADO A LÍNEA;M-00345;1.776;;;RECEPCIÓN;;0,47;;;;12/03/2026;Enzo Santambrogio
c8142950;ASIGNADO A LÍNEA;M-00346;1.777;;;RECEPCIÓN;;3,12;;;;12/03/2026;Enzo Santambrogio
c8142951;ASIGNADO A LÍNEA;M-00347;1.778;;;RECEPCIÓN;;0,13;;;;12/03/2026;Enzo Santambrogio
c8142952;ASIGNADO A LÍNEA;M-00348;1.779;;;RECEPCIÓN;;0,09;;;;12/03/2026;Enzo Santambrogio
c8142953;ASIGNADO A LÍNEA;M-00349;1.780;;;RECEPCIÓN;;0,5;;;;12/03/2026;Enzo Santambrogio
c8142954;ASIGNADO A LÍNEA;M-00350;1.781;;;RECEPCIÓN;;8,44;;;;12/03/2026;Enzo Santambrogio
c8142955;ASIGNADO A LÍNEA;M-00351;1.782;;;RECEPCIÓN;;0,87;;;;12/03/2026;Enzo Santambrogio
c8142956;ASIGNADO A LÍNEA;M-00352;1.783;;;RECEPCIÓN;;0,07;;;;12/03/2026;Enzo Santambrogio
c8142957;ASIGNADO A LÍNEA;M-00353;1.784;;;RECEPCIÓN;;0,28;;;;12/03/2026;Enzo Santambrogio
c8142958;ASIGNADO A LÍNEA;M-00354;1.785;;;RECEPCIÓN;;0,13;;;;12/03/2026;Enzo Santambrogio
c8142959;ASIGNADO A LÍNEA;M-00355;1.786;;;RECEPCIÓN;;1,33;;;;12/03/2026;Enzo Santambrogio
c8142960;ASIGNADO A LÍNEA;M-00356;1.787;;;RECEPCIÓN;;0,15;;;;12/03/2026;Enzo Santambrogio
c8142961;ASIGNADO A LÍNEA;M-00357;1.788;;;RECEPCIÓN;;0,38;;;;12/03/2026;Enzo Santambrogio
c8142962;ASIGNADO A LÍNEA;M-00358;1.789;;;RECEPCIÓN;;0,89;;;;12/03/2026;Enzo Santambrogio
c8142963;ASIGNADO A LÍNEA;M-00359;1.790;;;RECEPCIÓN;;0,41;;;;12/03/2026;Enzo Santambrogio
c8142964;ASIGNADO A LÍNEA;M-00360;1.791;;;RECEPCIÓN;;0,96;;;;12/03/2026;Enzo Santambrogio
c8142965;ASIGNADO A LÍNEA;M-00361;1.792;;;RECEPCIÓN;;0,26;;;;12/03/2026;Enzo Santambrogio
c8142966;ASIGNADO A LÍNEA;M-00362;1.793;;;RECEPCIÓN;;0,12;;;;12/03/2026;Enzo Santambrogio
c8142967;ASIGNADO A LÍNEA;M-00363;1.794;;;RECEPCIÓN;;0,19;;;;12/03/2026;Enzo Santambrogio
c8142968;ASIGNADO A LÍNEA;M-00364;1.795;;;RECEPCIÓN;;1,33;;;;12/03/2026;Enzo Santambrogio
c8142969;ASIGNADO A LÍNEA;M-00365;1.796;;;RECEPCIÓN;;2,77;;;;12/03/2026;Enzo Santambrogio
c8142970;ASIGNADO A LÍNEA;M-00366;1.797;;;RECEPCIÓN;;0,09;;;;12/03/2026;Enzo Santambrogio
c8142971;ASIGNADO A LÍNEA;M-00367;1.798;;;RECEPCIÓN;;0,42;;;;12/03/2026;Enzo Santambrogio
c8142972;ASIGNADO A LÍNEA;M-00368;1.799;;;RECEPCIÓN;;3,43;;;;12/03/2026;Enzo Santambrogio
c8142973;ASIGNADO A LÍNEA;M-00369;1.800;;;RECEPCIÓN;;0,14;;;;12/03/2026;Enzo Santambrogio
c8142974;ASIGNADO A LÍNEA;M-00370;1.801;;;RECEPCIÓN;;0,09;;;;12/03/2026;Enzo Santambrogio
c8142975;ASIGNADO A LÍNEA;M-00371;1.802;;;RECEPCIÓN;;0,09;;;;12/03/2026;Enzo Santambrogio
c8142976;ASIGNADO A LÍNEA;M-00372;1.803;;;RECEPCIÓN;;0,8;;;;12/03/2026;Enzo Santambrogio
c8142977;ASIGNADO A LÍNEA;M-00373;1.804;;;RECEPCIÓN;;0,17;;;;12/03/2026;Enzo Santambrogio
c8142978;ASIGNADO A LÍNEA;M-00374;1.805;;;RECEPCIÓN;;3,58;;;;12/03/2026;Enzo Santambrogio
c8142979;ASIGNADO A LÍNEA;M-00375;1.806;;;RECEPCIÓN;;0,52;;;;12/03/2026;Enzo Santambrogio
c8142980;ASIGNADO A LÍNEA;M-00376;1.807;;;RECEPCIÓN;;1,6;;;;12/03/2026;Enzo Santambrogio
c8142981;ASIGNADO A LÍNEA;M-00377;1.808;;;RECEPCIÓN;;0,09;;;;12/03/2026;Enzo Santambrogio
c8142982;ASIGNADO A LÍNEA;M-00378;1.809;;;RECEPCIÓN;;0,41;;;;12/03/2026;Enzo Santambrogio
